Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,annual_mean_temperature contribution,annual_precipitation contribution,elevation contribution,mean_diurnal_range contribution,mean_temp_wettest_quarter contribution,precipitation_coldest_quarter contribution,precipitation_driest_quarter contribution,precipitation_seasonality contribution,precipitation_warmest_quarter contribution,temperature_seasonality contribution,annual_mean_temperature permutation importance,annual_precipitation permutation importance,elevation permutation importance,mean_diurnal_range permutation importance,mean_temp_wettest_quarter permutation importance,precipitation_coldest_quarter permutation importance,precipitation_driest_quarter permutation importance,precipitation_seasonality permutation importance,precipitation_warmest_quarter permutation importance,temperature_seasonality permutation importance,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
8029_2,311,2.2250,2.3613,500,0.9459,78,2.4177,0.9488,0.0125,10290,44.1912,5.1308,17.0651,7.2391,2.7992,0.3457,1.0073,15.4151,1.5060,5.3004,79.6777,1.0775,0.0000,2.2094,0.8937,0.0000,0.9751,13.6689,0.6987,0.7990,7.0146,0.0588,1.0000,0.0115,0.1487,0.0000,0.0000,0E0,5.0000,0.0115,0.1487,0.0000,0.0000,0E0,10.0000,0.1500,0.0800,0.0740,0.0641,0E0,7.1073,0.0115,0.1487,0.0000,0.0000,0E0,17.3902,0.4133,0.0554,0.0997,0.1154,0E0,11.0900,0.2035,0.0740,0.0740,0.0641,0E0,13.1780,0.2878,0.0659,0.0772,0.0641,0E0,13.7503,0.3067,0.0641,0.0804,0.0641,0E0,13.8049,0.3074,0.0639,0.0836,0.0641,0E0,7.1073,0.0115,0.1487,0.0000,0.0000,0E0,7.8485,0.0362,0.1081,0.0675,0.0641,0E0
8029_3,311,2.2135,2.3526,500,0.9438,78,2.4472,0.9574,0.0099,10287,44.7180,5.0258,17.3598,7.5871,3.5471,0.1995,0.9058,15.0761,1.1572,4.4235,83.6370,0.0000,0.0000,2.6323,0.4226,0.0000,0.0000,11.4491,1.2649,0.5942,7.0279,0.0593,1.0000,0.0125,0.1474,0.0740,0.0385,0E0,5.0000,0.0125,0.1474,0.0740,0.0385,0E0,10.0000,0.1147,0.0838,0.0772,0.0513,0E0,0.3690,0.0125,0.7842,0.0000,0.0000,1.802E-6,15.4074,0.3450,0.0604,0.0997,0.0769,0E0,10.9084,0.1676,0.0772,0.0772,0.0513,0E0,14.1225,0.3037,0.0640,0.0836,0.0769,0E0,13.0100,0.2630,0.0676,0.0804,0.0641,0E0,12.1353,0.2270,0.0710,0.0804,0.0513,0E0,8.5344,0.0429,0.1046,0.0740,0.0385,0E0,8.3601,0.0323,0.1096,0.0740,0.0385,0E0
8029_4,312,2.2517,2.3871,500,0.9470,77,2.2612,0.9443,0.0124,10290,44.0254,5.5778,18.5007,7.2184,2.9723,0.2991,0.9242,14.5498,1.0023,4.9299,79.6981,0.0646,0.0000,3.7965,0.0000,0.0000,0.6154,14.3325,1.1447,0.3483,6.9923,0.0575,1.0000,0.0111,0.1422,0.0673,0.0649,0E0,5.0000,0.0111,0.1422,0.0673,0.0649,0E0,10.0000,0.1555,0.0776,0.0705,0.0779,0E0,0.3833,0.0111,0.7788,0.0000,0.0000,1.46E-6,16.3958,0.3910,0.0560,0.0994,0.1558,0E0,11.3819,0.2241,0.0706,0.0705,0.0909,0E0,12.1290,0.2536,0.0675,0.0705,0.0909,0E0,9.9503,0.1528,0.0779,0.0705,0.0779,0E0,10.4147,0.1710,0.0751,0.0705,0.0779,0E0,7.9041,0.0412,0.1026,0.0673,0.0649,0E0,7.7875,0.0364,0.1057,0.0673,0.0649,0E0
8029 (average),311.2000,2.2380,2.3776,500.0000,0.9467,77.8000,2.3486,0.9459,0.0125,10289.6000,44.5474,5.2638,17.2130,6.9350,3.0032,0.2679,1.0702,15.5952,1.2562,4.8479,80.7307,0.4832,0.0000,2.3206,0.4209,0.0000,0.7765,13.4782,1.2194,0.5706,7.0028,0.0582,1.0000,0.0111,0.1471,0.0533,0.0540,0.0000,5.0000,0.0111,0.1471,0.0533,0.0540,0.0000,10.0000,0.1564,0.0789,0.0720,0.0720,0.0000,1.6840,0.0111,0.6564,0.0000,0.0000,0.0000,16.4670,0.3915,0.0570,0.0996,0.1081,0.0000,11.2326,0.2169,0.0727,0.0726,0.0746,0.0000,13.3445,0.3019,0.0648,0.0752,0.0797,0.0000,11.4524,0.2182,0.0753,0.0733,0.0746,0.0000,14.1703,0.3098,0.0642,0.0913,0.0720,0.0000,7.6041,0.0356,0.1133,0.0533,0.0540,0.0000,7.6947,0.0377,0.1069,0.0668,0.0668,0.0000
8081_0,60,3.2462,3.7439,500,0.9847,15,3.1982,0.9809,0.0084,10058,30.6592,6.7384,17.2433,12.9231,1.5985,0.4428,3.2063,11.3291,0.8958,14.9636,4.4363,0.9605,2.7823,16.6531,4.2013,0.0000,1.8326,10.1309,1.4459,57.5571,5.9715,0.0208,1.0000,0.0012,0.1908,0.0167,0.0000,1.616E-11,5.0000,0.0308,0.0736,0.0167,0.0667,1.902E-15,10.0000,0.0940,0.0384,0.0167,0.1333,3.825E-17,0.0682,0.0012,0.8421,0.0000,0.0000,7.596E-2,25.0411,0.4632,0.0155,0.1000,0.2000,8.445E-20,12.6901,0.1502,0.0301,0.0333,0.2000,2.336E-16,12.6901,0.1502,0.0301,0.0167,0.2000,2.336E-16,5.1684,0.0323,0.0716,0.0167,0.0667,1.299E-15,2.7738,0.0098,0.1206,0.0167,0.0000,1.66E-14,3.3728,0.0155,0.1021,0.0167,0.0667,1.817E-13,9.8529,0.0920,0.0390,0.0167,0.1333,4.669E-17
8081_1,60,3.1251,3.6707,500,0.9840,15,3.7684,0.9926,0.0015,10058,38.4128,6.8127,15.4157,8.4211,1.5481,0.5116,0.8185,12.1495,0.5230,15.3869,0.9224,6.0776,3.7776,4.3628,2.9887,1.4926,1.5502,5.7653,6.7995,66.2633,6.0915,0.0235,1.0000,0.0013,0.1941,0.0167,0.0000,2.087E-11,5.0000,0.0379,0.0776,0.0167,0.0000,2.207E-17,10.0000,0.1051,0.0443,0.0167,0.0000,5.039E-21,0.0757,0.0013,0.8454,0.0000,0.0000,8.052E-2,25.8689,0.4655,0.0171,0.1000,0.0667,2.7E-24,12.2885,0.1392,0.0365,0.0333,0.0000,2.706E-22,10.5328,0.1124,0.0424,0.0167,0.0000,2.532E-21,17.9020,0.2625,0.0250,0.0833,0.0000,9.066E-25,17.9020,0.2625,0.0250,0.0833,0.0000,9.066E-25,3.3242,0.0174,0.1052,0.0167,0.0000,2.136E-15,10.1117,0.1066,0.0439,0.0167,0.0000,4.402E-21
8081_2,60,3.3157,3.8406,500,0.9925,15,2.9437,0.9517,0.0376,10059,21.1651,2.9762,35.9975,10.8019,2.9305,0.0001,0.0000,10.3400,0.2156,15.5731,1.6812,0.6435,73.0519,1.2630,1.1533,0.0000,0.0000,4.4446,0.6942,17.0684,5.9006,0.0202,1.0000,0.0093,0.1170,0.0000,0.0667,1.205E-12,5.0000,0.0504,0.0578,0.0167,0.0667,6.527E-17,10.0000,0.1178,0.0348,0.0333,0.1333,1.077E-17,3.9655,0.0392,0.0660,0.0000,0.0667,4.198E-16,27.3717,0.5274,0.0146,0.1000,0.2667,8.396E-18,10.5586,0.1266,0.0333,0.0333,0.1333,6.113E-18,7.4918,0.0783,0.0438,0.0167,0.0667,1.394E-18,3.8891,0.0388,0.0667,0.0000,0.0667,4.859E-16,8.3716,0.0925,0.0402,0.0333,0.0667,4.103E-19,1.5177,0.0144,0.1013,0.0000,0.0667,1.628E-13,9.5355,0.1090,0.0363,0.0333,0.1333,1.854E-17
8081_3,60,3.1122,3.6206,500,0.9833,15,3.8530,0.9936,0.0014,10059,28.9956,8.7733,16.9167,13.6798,2.4695,0.0062,1.1327,11.1820,0.2189,16.6252,0.8622,2.9975,2.9506,8.9047,2.6661,1.4574,2.4160,8.7953,4.2544,64.6959,6.1044,0.0238,1.0000,0.0013,0.1909,0.0167,0.0000,1.626E-11,5.0000,0.0392,0.0802,0.0167,0.0000,3.671E-17,10.0000,0.1000,0.0457,0.0333,0.0000,7.999E-21,0.0674,0.0013,0.8421,0.0000,0.0000,7.598E-2,23.9996,0.4043,0.0188,0.1000,0.0000,1.284E-26,11.9500,0.1352,0.0388,0.0333,0.0000,6.724E-22,11.9500,0.1352,0.0388,0.0333,0.0000,6.724E-22,25.9343,0.4616,0.0174,0.1333,0.0000,4.048E-27,25.9343,0.4616,0.0174,0.1333,0.0000,4.048E-27,3.2636,0.0176,0.1094,0.0167,0.0000,3.824E-15,10.3318,0.1050,0.0444,0.0333,0.0000,5.203E-21
8081_4,60,3.1488,3.6627,500,0.9837,15,3.6775,0.9920,0.0017,10058,26.0743,8.2693,18.0679,15.1330,2.7858,0.9371,0.8683,9.4803,1.4391,16.9449,0.0000,3.6325,2.7428,14.0182,3.3397,1.5083,1.6945,9.5795,5.3119,58.1725,6.0645,0.0229,1.0000,0.0013,0.1953,0.0000,0.0000,2.288E-11,5.0000,0.0362,0.0775,0.0167,0.0000,2.165E-17,10.0000,0.1013,0.0435,0.0333,0.0000,3.841E-21,1.9866,0.0013,0.1953,0.0000,0.0000,2.288E-11,25.1069,0.4543,0.0170,0.1000,0.1333,1.008E-21,13.2767,0.1601,0.0333,0.0333,0.0000,6.886E-23,13.3584,0.1616,0.0330,0.0333,0.0000,6.017E-23,19.0581,0.2790,0.0229,0.0833,0.0000,2.445E-25,19.0581,0.2790,0.0229,0.0833,0.0000,2.445E-25,1.9866,0.0013,0.1953,0.0000,0.0000,2.288E-11,10.2242,0.1044,0.0428,0.0333,0.0000,2.913E-21
8081 (average),60.0000,3.1896,3.7077,500.0000,0.9856,15.0000,3.4882,0.9822,0.0101,10058.4000,29.0614,6.7140,20.7282,12.1918,2.2665,0.3796,1.2052,10.8962,0.6585,15.8987,1.5804,2.8623,17.0610,9.0404,2.8698,0.8917,1.4987,7.7431,3.7012,52.7514,6.0265,0.0222,1.0000,0.0029,0.1776,0.0100,0.0133,0.0000,5.0000,0.0389,0.0733,0.0167,0.0267,0.0000,10.0000,0.1036,0.0413,0.0267,0.0533,0.0000,1.2327,0.0089,0.5582,0.0000,0.0133,0.0465,25.4776,0.4629,0.0166,0.1000,0.1333,0.0000,12.1528,0.1423,0.0344,0.0333,0.0667,0.0000,11.2046,0.1275,0.0376,0.0233,0.0533,0.0000,14.3904,0.2148,0.0407,0.0633,0.0267,0.0000,14.8080,0.2211,0.0452,0.0700,0.0133,0.0000,2.6930,0.0132,0.1227,0.0100,0.0267,0.0000,10.0112,0.1034,0.0413,0.0267,0.0533,0.0000
