Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,annual_mean_temperature contribution,annual_precipitation contribution,elevation contribution,mean_diurnal_range contribution,mean_temp_wettest_quarter contribution,precipitation_coldest_quarter contribution,precipitation_driest_quarter contribution,precipitation_seasonality contribution,precipitation_warmest_quarter contribution,temperature_seasonality contribution,annual_mean_temperature permutation importance,annual_precipitation permutation importance,elevation permutation importance,mean_diurnal_range permutation importance,mean_temp_wettest_quarter permutation importance,precipitation_coldest_quarter permutation importance,precipitation_driest_quarter permutation importance,precipitation_seasonality permutation importance,precipitation_warmest_quarter permutation importance,temperature_seasonality permutation importance,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
9184_0,235,2.2597,2.4657,500,0.9358,59,2.6038,0.9375,0.0186,10211,24.9343,9.7106,17.8012,7.0903,0.5564,1.6050,10.6213,18.2835,0.9655,8.4319,32.2068,1.0130,22.1035,14.7285,0.0000,0.0000,0.0000,13.0160,0.0000,16.9322,6.9936,0.0547,1.0000,0.0169,0.1644,0.0000,0.0000,0E0,5.0000,0.0169,0.1644,0.0000,0.0000,0E0,10.0000,0.0169,0.1644,0.0000,0.0000,0E0,10.9019,0.0169,0.1644,0.0000,0.0000,0E0,10.9019,0.0169,0.1644,0.0000,0.0000,0E0,13.1077,0.0741,0.1021,0.1021,0.1017,0E0,10.9019,0.0169,0.1644,0.0000,0.0000,0E0,13.1435,0.0757,0.1017,0.1021,0.1017,0E0,10.9019,0.0169,0.1644,0.0000,0.0000,0E0,10.9019,0.0169,0.1644,0.0000,0.0000,0E0,12.8068,0.0637,0.1066,0.1021,0.1017,0E0
9184_1,235,2.3242,2.5234,500,0.9381,59,2.2382,0.9248,0.0198,10212,27.4258,9.4033,15.8627,6.3051,0.5803,0.4492,12.1060,19.5393,1.0469,7.2815,35.5371,5.6725,8.0201,21.0018,1.1743,6.1001,0.0000,0.0000,0.0000,22.4940,6.9113,0.0500,1.0000,0.0148,0.1659,0.0979,0.1186,1.074E-49,5.0000,0.0148,0.1659,0.0979,0.1186,1.074E-49,10.0000,0.0148,0.1659,0.0979,0.1186,1.074E-49,0.6779,0.0147,0.8074,0.0000,0.0000,8.781E-5,13.2741,0.0837,0.0915,0.0979,0.1186,0E0,12.7634,0.0690,0.0978,0.0979,0.1186,0E0,22.3030,0.2811,0.0431,0.1277,0.2034,0E0,11.6031,0.0411,0.1187,0.0979,0.1186,0E0,13.3383,0.0866,0.0907,0.1021,0.1186,0E0,11.4982,0.0385,0.1212,0.0979,0.1186,0E0,12.7350,0.0684,0.0982,0.0979,0.1186,0E0
9184_2,235,2.2782,2.4700,500,0.9356,59,2.4407,0.9355,0.0185,10211,24.6134,9.6758,17.3464,7.1256,0.4419,0.9145,11.4759,20.0592,0.5569,7.7905,35.2235,0.0000,19.5712,10.4280,0.0000,7.0742,0.0000,1.4668,2.5155,23.7208,6.9536,0.0523,1.0000,0.0161,0.1644,0.1021,0.1017,1.57E-52,5.0000,0.0161,0.1644,0.1021,0.1017,1.57E-52,10.0000,0.0161,0.1644,0.1021,0.1017,1.57E-52,0.7134,0.0160,0.8060,0.0000,0.0000,8.212E-5,0.7134,0.0160,0.8060,0.0000,0.0000,8.212E-5,13.0128,0.0695,0.1021,0.1021,0.1017,0E0,22.9759,0.2889,0.0441,0.1404,0.1525,0E0,13.0477,0.0714,0.1017,0.1021,0.1017,0E0,15.7207,0.1367,0.0762,0.1234,0.1017,0E0,11.8802,0.0400,0.1236,0.1021,0.1017,0E0,12.9922,0.0690,0.1024,0.1021,0.1017,0E0
9184_3,235,2.2971,2.4811,500,0.9355,59,2.3474,0.9344,0.0185,10211,24.1836,12.0847,17.6184,6.6124,2.4224,0.4076,10.9848,19.1372,0.8682,5.6807,23.7074,3.5362,10.7011,24.3511,6.9376,7.0753,2.3648,3.8982,2.3951,15.0332,6.9408,0.0515,1.0000,0.0159,0.1635,0.1021,0.1017,6.575E-53,5.0000,0.0159,0.1635,0.1021,0.1017,6.575E-53,10.0000,0.0159,0.1635,0.1021,0.1017,6.575E-53,0.7072,0.0159,0.8050,0.0000,0.0000,7.832E-5,0.7072,0.0159,0.8050,0.0000,0.0000,7.832E-5,12.9297,0.0669,0.1021,0.1021,0.1017,0E0,16.9279,0.1630,0.0671,0.1234,0.1186,0E0,12.9635,0.0677,0.1017,0.1021,0.1017,0E0,16.2871,0.1474,0.0710,0.1234,0.1017,0E0,11.9706,0.0396,0.1205,0.1021,0.1017,0E0,12.9979,0.0690,0.1012,0.1021,0.1017,0E0
9184_4,236,2.2649,2.4678,500,0.9345,58,2.5606,0.9432,0.0173,10211,23.5028,10.9775,16.4690,7.6231,0.2036,1.6096,11.3589,19.3353,0.7465,8.1736,35.8956,0.0000,11.6214,22.4336,2.5030,2.2839,0.0000,9.4335,0.0000,15.8289,6.9702,0.0531,1.0000,0.0169,0.1620,0.1059,0.0862,9.24E-55,5.0000,0.0169,0.1620,0.1059,0.0862,9.24E-55,10.0000,0.0169,0.1620,0.1059,0.0862,9.24E-55,0.6707,0.0169,0.8035,0.0000,0.0000,8.306E-5,0.6707,0.0169,0.8035,0.0000,0.0000,8.306E-5,13.0280,0.0628,0.1060,0.1059,0.0862,0E0,19.0928,0.2093,0.0590,0.1229,0.1207,0E0,13.9810,0.0911,0.0934,0.1102,0.0862,0E0,22.6774,0.2804,0.0456,0.1441,0.1207,0E0,0.6707,0.0169,0.8035,0.0000,0.0000,8.306E-5,13.1412,0.0664,0.1042,0.1059,0.0862,0E0
9184 (average),235.2000,2.2848,2.4816,500.0000,0.9359,58.8000,2.4381,0.9351,0.0185,10211.2000,24.9320,10.3704,17.0195,6.9513,0.8409,0.9972,11.3094,19.2709,0.8368,7.4716,32.5141,2.0443,14.4035,18.5886,2.1230,4.5067,0.4730,5.5629,0.9821,18.8018,6.9539,0.0523,1.0000,0.0161,0.1640,0.0816,0.0816,0.0000,5.0000,0.0161,0.1640,0.0816,0.0816,0.0000,10.0000,0.0161,0.1640,0.0816,0.0816,0.0000,2.7342,0.0161,0.6773,0.0000,0.0000,0.0001,5.2535,0.0299,0.5341,0.0196,0.0237,0.0000,12.9683,0.0685,0.1020,0.1020,0.1020,0.0000,18.4403,0.1918,0.0755,0.1029,0.1190,0.0000,12.9478,0.0694,0.1034,0.1029,0.1020,0.0000,15.7851,0.1336,0.0896,0.0986,0.0885,0.0000,9.3843,0.0304,0.2666,0.0604,0.0644,0.0000,12.9346,0.0673,0.1025,0.1020,0.1020,0.0000
9195_0,318,2.3107,2.4406,500,0.9532,80,2.1414,0.9229,0.0168,10300,38.9359,5.6414,19.0277,8.4195,6.1860,0.2344,0.6058,15.1455,0.9687,4.8351,81.9777,2.3093,0.0000,4.7451,0.6683,0.0000,2.4646,6.3709,0.9577,0.5066,6.9342,0.0549,1.0000,0.0080,0.1538,0.0503,0.1250,0E0,5.0000,0.0080,0.1538,0.0503,0.1250,0E0,10.0000,0.1983,0.0729,0.0692,0.1250,0E0,0.2888,0.0080,0.7898,0.0000,0.0000,1.973E-6,14.2880,0.3270,0.0585,0.0975,0.1625,0E0,10.4170,0.2040,0.0711,0.0723,0.1250,0E0,10.3948,0.2035,0.0711,0.0692,0.1250,0E0,5.7900,0.0182,0.1250,0.0503,0.1250,0E0,11.3737,0.2398,0.0672,0.0818,0.1250,0E0,6.2850,0.0390,0.1067,0.0503,0.1250,0E0,6.6189,0.0538,0.0996,0.0503,0.1250,0E0
9195_1,318,2.2432,2.3714,500,0.9461,80,2.3702,0.9519,0.0109,10294,35.7595,5.1939,16.8812,8.6210,3.4226,0.3610,1.3856,20.5845,0.7128,7.0779,74.8442,4.9964,0.0000,5.7347,3.8867,0.0000,1.0062,9.1641,0.0000,0.3677,6.9992,0.0575,1.0000,0.0117,0.1428,0.0000,0.0000,0E0,5.0000,0.0117,0.1428,0.0000,0.0000,0E0,10.0000,0.1389,0.0807,0.0786,0.0750,0E0,7.4427,0.0117,0.1428,0.0000,0.0000,0E0,14.1243,0.2875,0.0617,0.0975,0.1000,0E0,10.2499,0.1491,0.0791,0.0786,0.1000,0E0,7.4427,0.0117,0.1428,0.0000,0.0000,0E0,10.0643,0.1405,0.0803,0.0786,0.0750,0E0,7.4427,0.0117,0.1428,0.0000,0.0000,0E0,7.4427,0.0117,0.1428,0.0000,0.0000,0E0,8.1418,0.0359,0.1064,0.0692,0.0500,0E0
9195_2,318,2.2248,2.3554,500,0.9457,80,2.4621,0.9539,0.0109,10295,41.5060,6.3545,16.6516,10.2754,5.3011,0.1173,0.0515,15.0825,0.9141,3.7460,80.4814,0.8368,0.2036,4.2898,3.5412,0.0000,0.1265,9.3977,0.5692,0.5538,7.0147,0.0584,1.0000,0.0118,0.1472,0.0692,0.0500,0E0,5.0000,0.0118,0.1472,0.0692,0.0500,0E0,10.0000,0.1359,0.0831,0.0849,0.0500,0E0,0.4116,0.0118,0.7835,0.0000,0.0000,1.289E-6,13.8116,0.2736,0.0646,0.0975,0.0750,0E0,9.8826,0.1319,0.0841,0.0849,0.0500,0E0,11.8755,0.2091,0.0724,0.0881,0.0625,0E0,13.3019,0.2526,0.0664,0.0975,0.0625,0E0,11.3951,0.1932,0.0747,0.0881,0.0500,0E0,8.2072,0.0422,0.1068,0.0692,0.0500,0E0,8.1583,0.0396,0.1080,0.0692,0.0500,0E0
9195_3,319,2.2242,2.3585,500,0.9459,79,2.4941,0.9549,0.0111,10295,38.4654,6.1314,18.0351,8.3425,6.4942,0.1142,0.4430,15.5947,0.8447,5.5349,76.8340,3.7223,0.0000,4.7306,2.3395,0.0000,0.0000,11.1555,0.0000,1.2180,7.0180,0.0586,1.0000,0.0119,0.1455,0.0690,0.0506,0E0,5.0000,0.0119,0.1455,0.0690,0.0506,0E0,10.0000,0.1332,0.0831,0.0784,0.0506,0E0,0.3782,0.0119,0.7818,0.0000,0.0000,1.332E-6,13.2068,0.2517,0.0667,0.0972,0.0633,0E0,10.2240,0.1453,0.0815,0.0815,0.0506,0E0,12.3763,0.2253,0.0701,0.0878,0.0633,0E0,13.4983,0.2655,0.0658,0.1034,0.0633,0E0,11.7868,0.2051,0.0728,0.0878,0.0506,0E0,8.2240,0.0424,0.1063,0.0690,0.0506,0E0,8.1427,0.0377,0.1084,0.0690,0.0506,0E0
9195_4,319,2.2616,2.3942,500,0.9468,79,2.2597,0.9490,0.0110,10296,42.0456,5.7668,15.5578,8.9924,3.3366,0.1999,0.8673,16.1038,0.7744,6.3553,73.2212,6.6308,0.6016,7.5174,0.3727,0.0000,0.0000,11.6563,0.0000,0.0000,6.9791,0.0563,1.0000,0.0114,0.1421,0.0690,0.0506,0E0,5.0000,0.0114,0.1421,0.0690,0.0506,0E0,10.0000,0.1361,0.0793,0.0752,0.1013,0E0,0.3793,0.0114,0.7784,0.0000,0.0000,1.053E-6,13.6575,0.2729,0.0619,0.0972,0.1266,0E0,10.6227,0.1619,0.0753,0.0752,0.1013,0E0,10.8234,0.1677,0.0740,0.0752,0.1013,0E0,9.5182,0.1172,0.0830,0.0752,0.0886,0E0,8.5011,0.0573,0.0950,0.0721,0.0506,0E0,8.1719,0.0407,0.1019,0.0690,0.0506,0E0,8.0836,0.0365,0.1042,0.0690,0.0506,0E0
9195 (average),318.4000,2.2529,2.3840,500.0000,0.9475,79.6000,2.3455,0.9465,0.0121,10296.0000,39.3425,5.8176,17.2307,8.9302,4.9481,0.2054,0.6706,16.5022,0.8429,5.5098,77.4717,3.6991,0.1610,5.4035,2.1617,0.0000,0.7195,9.5489,0.3054,0.5292,6.9890,0.0571,1.0000,0.0110,0.1463,0.0515,0.0552,0.0000,5.0000,0.0110,0.1463,0.0515,0.0552,0.0000,10.0000,0.1485,0.0798,0.0773,0.0804,0.0000,1.7801,0.0110,0.6553,0.0000,0.0000,0.0000,13.8176,0.2825,0.0627,0.0974,0.1055,0.0000,10.2792,0.1584,0.0782,0.0785,0.0854,0.0000,10.5825,0.1635,0.0861,0.0641,0.0704,0.0000,10.4345,0.1588,0.0841,0.0810,0.0829,0.0000,10.0999,0.1414,0.0905,0.0660,0.0552,0.0000,7.6662,0.0352,0.1129,0.0515,0.0552,0.0000,7.8291,0.0407,0.1053,0.0653,0.0652,0.0000
9721_0,301,1.7010,1.8956,500,0.9038,76,1.8154,0.9135,0.0180,10255,26.3454,11.8218,18.0779,12.3708,1.8994,0.4283,5.6801,12.7729,0.7375,9.8658,14.5289,6.4741,9.3042,56.5945,0.8005,0.0000,0.0000,2.6280,1.5477,8.1222,7.5467,0.0978,1.0000,0.0390,0.8319,0.0000,0.0000,4.446E-5,5.0000,0.0421,0.1874,0.1495,0.1184,1.559E-54,10.0000,0.0421,0.1874,0.1495,0.1184,1.559E-54,1.1287,0.0421,0.8262,0.0000,0.0000,3.194E-5,1.1287,0.0421,0.8262,0.0000,0.0000,3.194E-5,17.1862,0.0851,0.1528,0.1528,0.1316,0E0,23.5171,0.2733,0.0914,0.1595,0.1579,0E0,18.5202,0.1371,0.1315,0.1528,0.1316,0E0,27.0850,0.3531,0.0738,0.1860,0.1579,0E0,1.1287,0.0421,0.8262,0.0000,0.0000,3.194E-5,16.0708,0.0440,0.1847,0.1495,0.1184,1.507E-55
9721_1,301,1.6920,1.8884,500,0.9051,76,1.9084,0.9031,0.0211,10255,26.5037,13.4677,16.2593,10.9502,3.0004,0.3722,5.7501,13.5457,0.6670,9.4837,20.4304,10.1814,8.2889,41.4233,0.0193,1.2971,0.0000,4.4994,1.6204,12.2399,7.5521,0.0986,1.0000,0.0359,0.8320,0.0000,0.0000,4.471E-5,5.0000,0.0413,0.1849,0.0000,0.0132,0E0,10.0000,0.0413,0.1849,0.0000,0.0132,0E0,15.6913,0.0413,0.1849,0.0000,0.0132,0E0,15.6913,0.0413,0.1849,0.0000,0.0132,0E0,16.9354,0.0948,0.1495,0.1495,0.1447,0E0,15.6913,0.0413,0.1849,0.0000,0.0132,0E0,17.2077,0.1060,0.1447,0.1495,0.1447,0E0,15.6913,0.0413,0.1849,0.0000,0.0132,0E0,15.6913,0.0413,0.1849,0.0000,0.0132,0E0,15.6913,0.0413,0.1849,0.0000,0.0132,0E0
9721_2,302,1.7381,1.9402,500,0.9084,75,1.7035,0.8947,0.0206,10258,25.0299,13.2541,18.6177,11.2231,0.9990,0.4355,6.3567,12.5790,1.0141,10.4909,10.5500,6.6304,5.6759,52.1965,1.4183,0.0000,1.4342,2.6614,0.0000,19.4332,7.5110,0.0943,1.0000,0.0363,0.8319,0.0000,0.0000,4.962E-5,5.0000,0.0380,0.1907,0.1391,0.1600,8.883E-47,10.0000,0.0380,0.1907,0.1391,0.1600,8.883E-47,1.0570,0.0380,0.8293,0.0000,0.0000,4.264E-5,1.0570,0.0380,0.8293,0.0000,0.0000,4.264E-5,16.6135,0.1005,0.1453,0.1457,0.1600,0E0,27.2813,0.3637,0.0693,0.1689,0.2133,0E0,15.8726,0.0721,0.1600,0.1391,0.1600,2.235E-58,21.3483,0.2411,0.0988,0.1523,0.1600,0E0,1.0570,0.0380,0.8293,0.0000,0.0000,4.264E-5,15.2386,0.0491,0.1782,0.1391,0.1600,5.212E-51
9721_3,302,1.6798,1.8937,500,0.9051,75,2.0342,0.9124,0.0192,10257,26.4039,14.1304,17.2132,11.3988,3.0539,0.6849,3.4756,13.9571,0.8146,8.8677,10.4619,3.8038,3.6785,54.5513,5.3696,0.0000,0.8141,2.4188,0.0000,18.9021,7.5564,0.0990,1.0000,0.0392,0.8295,0.0000,0.0000,4.309E-5,5.0000,0.0410,0.1881,0.0000,0.0000,0E0,10.0000,0.0410,0.1881,0.0000,0.0000,0E0,15.4075,0.0410,0.1881,0.0000,0.0000,0E0,15.4075,0.0410,0.1881,0.0000,0.0000,0E0,16.7181,0.0925,0.1508,0.1523,0.1333,0E0,15.4075,0.0410,0.1881,0.0000,0.0000,0E0,17.8227,0.1345,0.1334,0.1523,0.1333,0E0,15.4075,0.0410,0.1881,0.0000,0.0000,0E0,15.4075,0.0410,0.1881,0.0000,0.0000,0E0,15.4455,0.0425,0.1865,0.1457,0.1333,5.773E-52
9721_4,302,1.7217,1.9138,500,0.9083,75,1.8218,0.8908,0.0216,10259,27.9782,12.3528,17.2581,10.4232,0.3540,0.6896,4.3451,13.4827,0.7489,12.3674,15.4562,6.4399,5.3329,43.2704,1.8914,0.0000,3.2462,0.8195,0.0000,23.5435,7.5189,0.0953,1.0000,0.0368,0.1953,0.1358,0.1733,1.452E-43,5.0000,0.0368,0.1953,0.1358,0.1733,1.452E-43,10.0000,0.0368,0.1953,0.1358,0.1733,1.452E-43,0.9935,0.0368,0.8339,0.0000,0.0000,5.553E-5,0.9935,0.0368,0.8339,0.0000,0.0000,5.553E-5,16.3486,0.1107,0.1424,0.1424,0.1733,8.613E-65,22.0639,0.2792,0.0935,0.1490,0.1867,0E0,14.8948,0.0565,0.1733,0.1358,0.1733,7.973E-51,22.4512,0.2911,0.0913,0.1556,0.1867,0E0,0.9935,0.0368,0.8339,0.0000,0.0000,5.553E-5,14.7061,0.0497,0.1795,0.1358,0.1733,1.375E-48
9721 (average),301.6000,1.7065,1.9063,500.0000,0.9061,75.4000,1.8567,0.9029,0.0201,10256.8000,26.4522,13.0054,17.4852,11.2732,1.8613,0.5221,5.1215,13.2675,0.7964,10.2151,14.2855,6.7059,6.4561,49.6072,1.8998,0.2594,1.0989,2.6054,0.6336,16.4482,7.5370,0.0970,1.0000,0.0374,0.7041,0.0272,0.0347,0.0000,5.0000,0.0398,0.1893,0.0849,0.0930,0.0000,10.0000,0.0398,0.1893,0.0849,0.0930,0.0000,6.8556,0.0398,0.5725,0.0000,0.0026,0.0000,6.8556,0.0398,0.5725,0.0000,0.0026,0.0000,16.7604,0.0967,0.1482,0.1485,0.1486,0.0000,20.7922,0.1997,0.1254,0.0955,0.1142,0.0000,16.8636,0.1012,0.1486,0.1459,0.1486,0.0000,20.3967,0.1935,0.1274,0.0988,0.1036,0.0000,6.8556,0.0398,0.5725,0.0000,0.0026,0.0000,15.4305,0.0453,0.1828,0.1140,0.1196,0.0000
979753_0,264,1.8502,2.0652,500,0.9285,67,1.9086,0.9116,0.0204,10240,15.2715,17.1306,22.3428,19.7657,6.8199,0.4558,5.2173,3.7063,0.7847,8.5054,10.7455,12.1549,0.9508,65.1395,1.7783,0.0000,0.0000,0.0000,1.1432,8.0879,7.3870,0.0847,1.0000,0.0209,0.2170,0.0000,0.0000,8.099E-55,5.0000,0.0209,0.2170,0.0000,0.0000,8.099E-55,10.0000,0.0472,0.1800,0.0871,0.1194,1.088E-50,9.2347,0.0209,0.2170,0.0000,0.0000,8.099E-55,13.5750,0.1635,0.1253,0.0985,0.1194,0E0,15.6312,0.2154,0.1099,0.1098,0.1194,0E0,19.6383,0.2973,0.0887,0.1174,0.1343,0E0,14.2788,0.1828,0.1194,0.1098,0.1194,0E0,9.2347,0.0209,0.2170,0.0000,0.0000,8.099E-55,9.2347,0.0209,0.2170,0.0000,0.0000,8.099E-55,10.9458,0.0837,0.1576,0.0871,0.1194,1.298E-59
979753_1,265,1.7710,1.9755,500,0.9186,66,2.2017,0.9552,0.0110,10235,15.6969,17.4963,22.3436,17.9187,1.4088,0.5569,4.8950,6.9274,0.6178,12.1387,8.3467,12.4049,2.3503,56.0296,1.4234,0.0000,5.8642,0.0000,3.2928,10.2880,7.4628,0.0908,1.0000,0.0284,0.2028,0.1094,0.0303,1.923E-54,5.0000,0.0284,0.2028,0.1094,0.0303,1.923E-54,10.0000,0.0284,0.2028,0.1094,0.0303,1.923E-54,0.8644,0.0284,0.8429,0.0000,0.0000,2.263E-4,0.8644,0.0284,0.8429,0.0000,0.0000,2.263E-4,15.7584,0.1793,0.1246,0.1245,0.0455,0E0,24.3177,0.3526,0.0774,0.1509,0.0909,0E0,21.5406,0.3063,0.0892,0.1434,0.0909,0E0,18.0288,0.2370,0.1081,0.1358,0.0455,0E0,0.8644,0.0284,0.8429,0.0000,0.0000,2.263E-4,12.5424,0.0626,0.1702,0.1094,0.0303,0E0
979753_2,265,1.7813,1.9824,500,0.9209,66,2.2413,0.9432,0.0153,10237,13.9781,18.9302,19.8846,18.1242,3.9692,0.4103,5.0061,6.6096,0.7674,12.3203,10.9141,12.1454,3.1914,53.8664,3.0146,5.1270,0.0000,0.2259,2.2223,9.2929,7.4538,0.0904,1.0000,0.0263,0.2111,0.1019,0.0606,6.178E-48,5.0000,0.0263,0.2111,0.1019,0.0606,6.178E-48,10.0000,0.0263,0.2111,0.1019,0.0606,6.178E-48,0.7717,0.0262,0.8510,0.0000,0.0000,3.382E-4,0.7717,0.0262,0.8510,0.0000,0.0000,3.382E-4,15.7608,0.1942,0.1204,0.1208,0.1061,0E0,20.1763,0.2975,0.0938,0.1283,0.1061,0E0,17.8656,0.2461,0.1061,0.1245,0.1061,0E0,27.2521,0.4281,0.0668,0.1849,0.1212,0E0,11.8739,0.0659,0.1709,0.1019,0.0606,4.198E-62,11.9717,0.0696,0.1686,0.1019,0.0758,1.015E-60
979753_3,265,1.8233,2.0252,500,0.9240,66,1.9830,0.9297,0.0167,10238,15.3946,17.3462,20.8919,17.9879,6.8588,0.3365,6.2509,5.4586,0.9532,8.5215,12.4247,13.7193,8.4710,48.9223,1.4280,3.1187,0.0000,0.2580,0.7344,10.9236,7.4132,0.0867,1.0000,0.0242,0.2081,0.0981,0.0758,7.138E-47,5.0000,0.0242,0.2081,0.0981,0.0758,7.138E-47,10.0000,0.0242,0.2081,0.0981,0.0758,7.138E-47,0.7552,0.0241,0.8480,0.0000,0.0000,2.916E-4,12.6387,0.1054,0.1435,0.0981,0.0909,0E0,15.6942,0.1995,0.1132,0.1132,0.1212,0E0,20.1590,0.3011,0.0880,0.1283,0.1818,0E0,14.6809,0.1707,0.1212,0.1094,0.1212,0E0,12.9840,0.1186,0.1388,0.1019,0.0909,0E0,11.4350,0.0626,0.1661,0.0981,0.0758,8.48E-62,11.6168,0.0696,0.1618,0.0981,0.0909,2.458E-61
979753_4,265,1.9326,2.1414,500,0.9357,66,1.5089,0.8751,0.0246,10246,15.2759,16.5556,23.0406,17.3927,6.6659,0.2670,5.6759,5.9192,0.8709,8.3365,13.3516,17.3698,3.6571,46.7137,0.0000,2.2363,1.7960,0.0000,0.9952,13.8803,7.3091,0.0787,1.0000,0.0160,0.2250,0.0717,0.1818,4.07E-31,5.0000,0.0160,0.2250,0.0717,0.1818,4.07E-31,10.0000,0.0934,0.1458,0.0755,0.1818,2.456E-54,0.5127,0.0159,0.8643,0.0000,0.0000,6.442E-4,14.3682,0.2175,0.1066,0.0981,0.1970,0E0,15.1867,0.2349,0.1019,0.1019,0.2121,0E0,16.7947,0.2692,0.0938,0.1019,0.2121,0E0,8.3300,0.0414,0.1818,0.0717,0.1818,2.882E-41,18.9760,0.3018,0.0842,0.1208,0.2121,0E0,8.7882,0.0565,0.1686,0.0717,0.1818,1.96E-45,10.0071,0.0934,0.1457,0.0755,0.1818,2.218E-54
979753 (average),264.8000,1.8317,2.0379,500.0000,0.9255,66.2000,1.9687,0.9230,0.0176,10239.2000,15.1234,17.4918,21.7007,18.2378,5.1445,0.4053,5.4090,5.7242,0.7988,9.9645,11.1565,13.5589,3.7241,54.1343,1.5289,2.0964,1.5320,0.0968,1.6776,10.4945,7.4052,0.0863,1.0000,0.0232,0.2128,0.0762,0.0697,0.0000,5.0000,0.0232,0.2128,0.0762,0.0697,0.0000,10.0000,0.0439,0.1896,0.0944,0.0936,0.0000,2.4277,0.0231,0.7246,0.0000,0.0000,0.0003,8.4436,0.1082,0.4139,0.0589,0.0815,0.0001,15.6063,0.2047,0.1140,0.1140,0.1209,0.0000,20.2172,0.3035,0.0883,0.1254,0.1450,0.0000,15.3392,0.1895,0.1235,0.1118,0.1239,0.0000,17.2951,0.2213,0.1230,0.1087,0.0939,0.0000,8.4392,0.0469,0.3131,0.0543,0.0636,0.0000,11.4168,0.0758,0.1608,0.0944,0.0996,0.0000
