Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,annual_mean_temperature contribution,annual_precipitation contribution,elevation contribution,isothermality contribution,max_temp_coldest_month contribution,max_temp_warmest_month contribution,mean_diurnal_range contribution,mean_temp_coldest_quarter contribution,mean_temp_driest_quarter contribution,mean_temp_warmest_quarter contribution,mean_temp_wettest_quarter contribution,precipitation_coldest_quarter contribution,precipitation_driest_month contribution,precipitation_driest_quarter contribution,precipitation_seasonality contribution,precipitation_warmest_quarter contribution,precipitation_wettest_month contribution,precipitation_wettest_quarter contribution,temp_annual_range contribution,temperature_seasonality contribution,annual_mean_temperature permutation importance,annual_precipitation permutation importance,elevation permutation importance,isothermality permutation importance,max_temp_coldest_month permutation importance,max_temp_warmest_month permutation importance,mean_diurnal_range permutation importance,mean_temp_coldest_quarter permutation importance,mean_temp_driest_quarter permutation importance,mean_temp_warmest_quarter permutation importance,mean_temp_wettest_quarter permutation importance,precipitation_coldest_quarter permutation importance,precipitation_driest_month permutation importance,precipitation_driest_quarter permutation importance,precipitation_seasonality permutation importance,precipitation_warmest_quarter permutation importance,precipitation_wettest_month permutation importance,precipitation_wettest_quarter permutation importance,temp_annual_range permutation importance,temperature_seasonality permutation importance,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
9184_2,235,2.3112,2.5009,500,0.9373,59,2.4519,0.9368,0.0180,10211,16.2998,4.1208,16.3669,3.6428,1.8264,1.7054,6.7211,10.4075,1.5163,0.0134,0.0657,0.1200,2.0336,15.0367,15.1229,0.1163,0.0062,0.0000,0.5994,4.2788,5.1600,2.9558,7.5044,4.3951,0.0000,3.2368,14.6793,18.8501,0.0000,0.0000,4.3550,2.5429,0.0000,0.0000,11.5049,0.0872,0.0000,0.0000,4.9223,19.8061,6.9338,0.0513,1.0000,0.0161,0.1506,0.1021,0.1017,2.577E-58,5.0000,0.0161,0.1506,0.1021,0.1017,2.577E-58,10.0000,0.0161,0.1506,0.1021,0.1017,2.577E-58,0.6339,0.0160,0.7922,0.0000,0.0000,4.175E-5,0.6339,0.0160,0.7922,0.0000,0.0000,4.175E-5,12.6635,0.0686,0.1021,0.1021,0.1017,0E0,24.4069,0.3413,0.0383,0.1447,0.1695,0E0,12.6984,0.0697,0.1017,0.1021,0.1017,0E0,19.8658,0.2274,0.0526,0.1319,0.1186,0E0,11.7094,0.0392,0.1200,0.1021,0.1017,0E0,12.7838,0.0712,0.1005,0.1021,0.1017,0E0
9184_3,235,2.3228,2.5079,500,0.9374,59,2.3856,0.9365,0.0179,10211,17.9276,4.3242,15.3820,1.9068,1.2778,1.4021,6.2488,11.8238,2.1074,3.4378,0.0678,0.1040,0.2017,11.2155,18.6737,0.0305,0.0000,0.0797,0.3360,3.4528,1.6365,6.0674,5.4153,0.0000,1.3920,0.0000,0.0000,39.7270,0.0000,0.0000,0.0000,6.7056,0.0000,0.0000,6.4575,0.0000,0.0000,0.0000,0.0000,32.5987,6.9268,0.0507,1.0000,0.0163,0.1493,0.1021,0.1017,6.003E-59,5.0000,0.0163,0.1493,0.1021,0.1017,6.003E-59,10.0000,0.0163,0.1493,0.1021,0.1017,6.003E-59,0.6824,0.0162,0.7908,0.0000,0.0000,3.899E-5,0.6824,0.0162,0.7908,0.0000,0.0000,3.899E-5,12.8523,0.0686,0.1021,0.1021,0.1017,0E0,15.3155,0.1247,0.0772,0.1106,0.1017,0E0,12.8872,0.0691,0.1017,0.1021,0.1017,0E0,16.8475,0.1580,0.0671,0.1277,0.1017,0E0,11.9187,0.0391,0.1191,0.1021,0.1017,0E0,13.0228,0.0717,0.0998,0.1021,0.1017,0E0
9184_4,236,2.2939,2.4966,500,0.9360,58,2.5833,0.9444,0.0169,10211,15.8952,4.2047,15.9498,4.8250,1.8189,2.4956,6.0836,9.1763,1.0052,0.0819,0.3768,0.2977,2.2230,15.3551,14.7837,0.0610,0.0000,0.0000,0.7889,4.5776,0.0000,0.0000,5.8237,0.0000,0.0000,0.0000,4.7954,35.4350,2.8522,0.3168,2.0203,12.6565,0.0000,0.0000,8.0836,0.0000,0.0000,0.0000,0.6220,27.3946,6.9408,0.0516,1.0000,0.0168,0.1502,0.1059,0.0862,7.387E-60,5.0000,0.0168,0.1502,0.1059,0.0862,7.387E-60,10.0000,0.0168,0.1502,0.1059,0.0862,7.387E-60,0.6475,0.0164,0.7918,0.0000,0.0000,4.705E-5,0.6475,0.0164,0.7918,0.0000,0.0000,4.705E-5,12.5767,0.0582,0.1060,0.1059,0.0862,0E0,18.8104,0.2076,0.0569,0.1229,0.1207,0E0,13.8514,0.0923,0.0892,0.1059,0.0862,0E0,27.3942,0.4297,0.0321,0.1695,0.1379,0E0,0.6475,0.0164,0.7918,0.0000,0.0000,4.705E-5,12.8852,0.0663,0.1012,0.1059,0.0862,0E0
9184 (average),235.2000,2.3151,2.5104,500.0000,0.9376,58.8000,2.4549,0.9366,0.0180,10211.2000,16.7120,4.2404,16.1789,3.6948,1.8232,2.4355,5.8553,10.1194,1.5921,0.8814,0.1595,0.2192,1.7404,14.1791,15.1591,0.0772,0.0016,0.0159,0.6524,4.2625,3.0510,2.2705,6.2308,1.6112,0.6305,1.9370,4.5519,33.5033,0.5704,1.4557,1.2751,5.3838,0.0000,0.0000,8.1918,0.0174,0.0000,0.0000,1.6172,27.7025,6.9293,0.0510,1.0000,0.0160,0.1507,0.0816,0.0816,0.0000,5.0000,0.0160,0.1507,0.0816,0.0816,0.0000,10.0000,0.0160,0.1507,0.0816,0.0816,0.0000,2.6848,0.0158,0.6639,0.0000,0.0000,0.0000,5.1974,0.0311,0.5228,0.0196,0.0271,0.0000,12.5823,0.0662,0.1020,0.1020,0.1020,0.0000,18.1973,0.1930,0.0736,0.1012,0.1157,0.0000,12.6313,0.0674,0.1026,0.1020,0.1020,0.0000,17.5968,0.1834,0.0785,0.1054,0.0954,0.0000,9.2510,0.0296,0.2603,0.0604,0.0644,0.0000,12.7211,0.0693,0.1000,0.1020,0.1020,0.0000
9195_0,318,2.3612,2.4900,500,0.9545,80,2.1949,0.9241,0.0168,10300,20.2919,1.5851,17.2863,3.0451,19.3008,1.0954,7.0369,3.1806,0.8675,2.9987,5.5598,0.0003,0.0001,0.0001,14.5922,0.1685,0.0000,0.0095,0.0989,2.8823,9.9095,2.7248,0.0000,18.4970,38.4644,3.9199,2.0721,0.6251,1.1224,10.7146,0.0000,0.0000,0.0000,0.0000,9.8167,0.0000,0.0000,0.0000,0.6956,1.4380,6.8788,0.0517,1.0000,0.0076,0.1527,0.0503,0.1250,0E0,5.0000,0.0076,0.1527,0.0503,0.1250,0E0,10.0000,0.1930,0.0685,0.0723,0.1250,0E0,0.2981,0.0076,0.7887,0.0000,0.0000,1.837E-6,16.1175,0.3799,0.0509,0.0975,0.1500,0E0,9.2553,0.1545,0.0723,0.0723,0.1250,0E0,11.5019,0.2381,0.0627,0.0723,0.1375,0E0,5.7574,0.0152,0.1250,0.0535,0.1250,0E0,10.9855,0.2235,0.0647,0.0723,0.1250,0E0,6.3049,0.0368,0.1043,0.0535,0.1250,0E0,6.8268,0.0590,0.0943,0.0535,0.1250,0E0
9195_1,318,2.2968,2.4250,500,0.9473,80,2.3961,0.9524,0.0109,10294,17.2696,3.8797,15.1987,4.8161,18.5188,1.4575,5.2802,0.9536,0.6865,2.7134,5.8030,0.1153,0.0013,0.0002,19.8988,0.0000,0.0018,0.0430,0.5449,2.8175,8.6130,3.1893,0.0000,12.6831,38.6401,0.0000,4.0744,0.0000,0.6051,6.2891,1.8288,0.0000,2.6485,0.6350,15.8838,0.0283,0.5354,0.6600,2.2013,1.4850,6.9495,0.0545,1.0000,0.0112,0.1444,0.0692,0.0500,0E0,5.0000,0.0112,0.1444,0.0692,0.0500,0E0,10.0000,0.1105,0.0786,0.0818,0.0750,0E0,0.3648,0.0111,0.7807,0.0000,0.0000,1.069E-6,14.8349,0.3067,0.0563,0.0975,0.1000,0E0,9.6818,0.0957,0.0816,0.0818,0.0625,0E0,13.1020,0.2393,0.0619,0.0849,0.1000,0E0,10.4668,0.1311,0.0750,0.0818,0.0750,0E0,8.7608,0.0582,0.0933,0.0723,0.0500,0E0,8.2626,0.0396,0.1033,0.0723,0.0500,0E0,8.3490,0.0443,0.1012,0.0723,0.0500,0E0
9195_2,318,2.2698,2.4020,500,0.9468,80,2.5286,0.9558,0.0110,10295,19.8637,1.6097,16.9527,3.2132,19.6043,0.7977,8.3009,3.0652,0.9846,2.2311,5.6482,0.0001,0.0000,0.0002,14.6274,0.0040,0.0000,0.0168,0.1335,2.9467,7.0405,0.9403,1.3101,17.5230,47.3240,0.2009,5.3866,0.8016,0.0000,5.6811,0.3787,0.0000,0.0000,0.0000,8.8151,0.0000,0.0000,0.8847,1.4957,2.2175,6.9714,0.0557,1.0000,0.0113,0.1475,0.0000,0.0000,0E0,5.0000,0.0113,0.1475,0.0000,0.0000,0E0,10.0000,0.1095,0.0815,0.0786,0.0500,0E0,7.4138,0.0113,0.1475,0.0000,0.0000,0E0,14.3937,0.2787,0.0596,0.0975,0.0625,0E0,10.1953,0.1189,0.0797,0.0786,0.0500,0E0,7.4138,0.0113,0.1475,0.0000,0.0000,0E0,13.8372,0.2576,0.0615,0.0975,0.0625,0E0,13.8285,0.2569,0.0615,0.0975,0.0500,0E0,7.4138,0.0113,0.1475,0.0000,0.0000,0E0,8.3588,0.0450,0.1034,0.0723,0.0500,0E0
9195_3,319,2.2766,2.4057,500,0.9469,79,2.5393,0.9562,0.0111,10295,20.3775,1.5809,16.7943,3.1793,19.4030,0.9439,7.0095,2.9976,0.8986,3.7321,4.9478,0.1491,0.0000,0.0000,14.9188,0.0000,0.0000,0.0157,0.0530,2.9990,0.9376,7.0992,0.0000,17.4025,18.7832,4.8241,4.0724,0.1264,0.0000,18.0944,0.0000,0.0000,0.0000,3.2684,20.8595,0.0000,2.2030,0.0000,0.0000,2.3293,6.9649,0.0554,1.0000,0.0112,0.1449,0.0000,0.0000,0E0,5.0000,0.0112,0.1449,0.0000,0.0000,0E0,10.0000,0.1164,0.0797,0.0815,0.0633,0E0,7.3853,0.0112,0.1449,0.0000,0.0000,0E0,13.7862,0.2677,0.0609,0.0972,0.0633,0E0,9.8073,0.1070,0.0815,0.0815,0.0633,0E0,7.3853,0.0112,0.1449,0.0000,0.0000,0E0,13.0885,0.2446,0.0633,0.0940,0.0633,0E0,15.1552,0.3080,0.0567,0.1097,0.0633,0E0,7.3853,0.0112,0.1449,0.0000,0.0000,0E0,8.2855,0.0425,0.1028,0.0721,0.0506,0E0
9195_4,319,2.3159,2.4422,500,0.9478,79,2.3016,0.9419,0.0145,10296,18.3928,3.7524,15.9107,4.2808,20.8574,1.7224,5.7335,0.9222,0.7339,2.9937,5.3850,0.0000,0.0009,0.0000,16.1692,0.0052,0.0000,0.0109,0.8943,2.2346,3.2540,6.0546,0.0000,6.1470,28.9123,2.7037,6.2241,0.0000,0.0000,13.2432,0.0000,2.6762,0.0000,0.0000,20.1114,0.0000,1.7669,0.0000,8.7498,0.1568,6.9252,0.0532,1.0000,0.0107,0.1426,0.0690,0.0633,0E0,5.0000,0.0107,0.1426,0.0690,0.0633,0E0,10.0000,0.1102,0.0760,0.0784,0.1013,0E0,0.3718,0.0107,0.7788,0.0000,0.0127,4E-6,14.7544,0.3159,0.0547,0.0972,0.1266,0E0,9.9424,0.1079,0.0764,0.0752,0.1013,0E0,12.7897,0.2312,0.0609,0.0878,0.1139,0E0,9.2948,0.0832,0.0829,0.0721,0.0886,0E0,9.0192,0.0712,0.0862,0.0721,0.0633,0E0,8.1616,0.0386,0.1020,0.0690,0.0633,0E0,8.2970,0.0424,0.0988,0.0690,0.0633,0E0
9195 (average),318.4000,2.3041,2.4330,500.0000,0.9487,79.6000,2.3921,0.9461,0.0129,10296.0000,19.2391,2.4816,16.4285,3.7069,19.5369,1.2034,6.6722,2.2238,0.8342,2.9338,5.4688,0.0530,0.0005,0.0001,16.0413,0.0355,0.0004,0.0192,0.3449,2.7760,5.9509,4.0016,0.2620,14.4505,34.4248,2.3297,4.3659,0.3106,0.3455,10.8045,0.4415,0.5352,0.5297,0.7807,15.0973,0.0057,0.9011,0.3089,2.6285,1.5253,6.9380,0.0541,1.0000,0.0104,0.1464,0.0377,0.0477,0.0000,5.0000,0.0104,0.1464,0.0377,0.0477,0.0000,10.0000,0.1279,0.0769,0.0785,0.0829,0.0000,3.1668,0.0104,0.5281,0.0000,0.0025,0.0000,14.7773,0.3098,0.0565,0.0974,0.1005,0.0000,9.7764,0.1168,0.0783,0.0779,0.0804,0.0000,10.4385,0.1462,0.0956,0.0490,0.0703,0.0000,10.4889,0.1463,0.0815,0.0798,0.0829,0.0000,11.5498,0.1836,0.0725,0.0848,0.0703,0.0000,7.5056,0.0275,0.1204,0.0390,0.0477,0.0000,8.0234,0.0466,0.1001,0.0678,0.0678,0.0000
9721_0,301,1.7272,1.9362,500,0.9058,76,1.8861,0.9163,0.0177,10255,6.5610,5.6407,15.4097,1.4525,1.3673,13.6892,8.6344,11.3689,2.7265,2.4037,0.1297,0.5680,0.3399,6.0995,12.2999,0.0015,0.0542,0.0000,0.1583,11.0949,7.7200,8.2076,8.5690,0.0000,5.6226,36.0778,5.4942,3.7095,1.2833,0.0000,0.0000,0.1134,0.0000,0.0000,10.8206,0.0000,0.0000,0.0000,3.2060,9.1760,7.5157,0.0945,1.0000,0.0375,0.8199,0.0000,0.0000,2.195E-5,5.0000,0.0413,0.1782,0.1495,0.1184,4.202E-58,10.0000,0.0413,0.1782,0.1495,0.1184,4.202E-58,1.0665,0.0413,0.8170,0.0000,0.0000,1.843E-5,1.0665,0.0413,0.8170,0.0000,0.0000,1.843E-5,16.9446,0.0783,0.1528,0.1528,0.1316,0E0,23.3911,0.2774,0.0874,0.1628,0.1579,0E0,18.1435,0.1190,0.1315,0.1528,0.1316,0E0,27.9066,0.3743,0.0670,0.2027,0.1579,0E0,1.0665,0.0413,0.8170,0.0000,0.0000,1.843E-5,16.0973,0.0413,0.1782,0.1495,0.1184,4.202E-58
9721_1,301,1.7306,1.9469,500,0.9073,76,1.9493,0.9131,0.0185,10255,10.1521,5.4060,15.1869,2.1132,1.2196,13.6863,11.1599,9.1347,1.9146,0.3476,0.0902,0.1727,0.0032,6.6995,11.1940,0.0575,0.0852,0.0078,0.0086,11.3605,7.1163,8.0574,4.5430,1.2059,3.9332,41.5739,15.0597,1.9068,2.2325,0.0000,0.0000,3.0229,0.0000,1.6535,2.2439,0.0000,0.2914,0.8297,0.0000,6.3300,7.5132,0.0944,1.0000,0.0398,0.1782,0.0000,0.0000,0E0,5.0000,0.0398,0.1782,0.0000,0.0000,0E0,10.0000,0.0398,0.1782,0.0000,0.0000,0E0,15.5076,0.0398,0.1782,0.0000,0.0000,0E0,15.5076,0.0398,0.1782,0.0000,0.0000,0E0,16.6780,0.0895,0.1462,0.1462,0.1447,0E0,15.5076,0.0398,0.1782,0.0000,0.0000,0E0,16.7566,0.0930,0.1447,0.1495,0.1447,0E0,15.5076,0.0398,0.1782,0.0000,0.0000,0E0,15.5076,0.0398,0.1782,0.0000,0.0000,0E0,15.5076,0.0398,0.1782,0.0000,0.0000,0E0
9721_2,302,1.7683,1.9846,500,0.9106,75,1.7558,0.8976,0.0202,10258,7.0661,10.1590,15.7014,2.8189,2.3019,16.3163,5.9848,7.5633,2.3463,0.4415,0.0250,0.2050,0.4982,5.0359,11.6683,0.0239,0.0013,0.0039,0.5317,11.3072,3.7670,6.6290,4.1684,0.0000,1.5162,29.5791,24.4869,9.2862,0.0000,0.0000,0.0000,0.0000,0.7008,0.0000,2.1322,0.7574,3.6168,0.0000,0.0000,13.3601,7.4737,0.0905,1.0000,0.0365,0.1804,0.1391,0.1600,3.315E-50,5.0000,0.0365,0.1804,0.1391,0.1600,3.315E-50,10.0000,0.0365,0.1804,0.1391,0.1600,3.315E-50,0.9366,0.0364,0.8191,0.0000,0.0000,2.347E-5,0.9366,0.0364,0.8191,0.0000,0.0000,2.347E-5,16.3598,0.0990,0.1391,0.1391,0.1600,0E0,27.3217,0.3826,0.0652,0.1788,0.2000,0E0,15.3404,0.0632,0.1600,0.1391,0.1600,2.235E-58,21.9776,0.2674,0.0888,0.1589,0.1600,0E0,0.9366,0.0364,0.8191,0.0000,0.0000,2.347E-5,14.9610,0.0460,0.1717,0.1391,0.1600,1.807E-53
9721_3,302,1.7225,1.9495,500,0.9078,75,2.0305,0.9126,0.0189,10257,7.2670,6.1014,14.8128,1.4390,1.0801,11.5779,10.6748,11.7837,2.5707,2.1660,1.8842,0.3948,0.3395,7.3575,9.8239,0.0501,0.0000,0.0000,0.0900,10.5867,1.4251,4.3604,0.4222,0.0610,5.9659,29.9616,23.3938,11.8239,0.0000,4.0169,2.9848,0.0000,0.0000,0.0000,0.0000,0.6071,0.0000,0.0000,0.0907,14.8866,7.5144,0.0945,1.0000,0.0394,0.8168,0.0000,0.0000,2.054E-5,5.0000,0.0396,0.1778,0.1457,0.1333,3.56E-55,10.0000,0.0396,0.1778,0.1457,0.1333,3.56E-55,1.0085,0.0396,0.8165,0.0000,0.0000,2.019E-5,1.0085,0.0396,0.8165,0.0000,0.0000,2.019E-5,16.4023,0.0816,0.1490,0.1490,0.1467,0E0,26.4173,0.3698,0.0706,0.1689,0.2133,0E0,16.5170,0.0855,0.1466,0.1490,0.1467,0E0,24.3567,0.3270,0.0793,0.1656,0.1733,0E0,1.0085,0.0396,0.8165,0.0000,0.0000,2.019E-5,15.4343,0.0396,0.1778,0.1457,0.1333,3.56E-55
9721_4,302,1.7563,1.9682,500,0.9116,75,1.8342,0.8940,0.0210,10259,9.1692,11.8386,13.8535,3.6827,2.1176,13.8612,5.3438,7.0118,0.8833,1.8940,0.2698,1.0877,1.3796,5.1360,10.6892,0.9824,0.0000,0.0011,0.7098,10.0890,6.7582,2.4569,1.1672,2.4786,0.8961,57.6882,5.6710,9.3778,0.0000,0.0000,0.6441,0.0000,0.0000,1.8957,1.8554,0.4231,0.0000,0.1673,3.8152,4.7052,7.4805,0.0914,1.0000,0.0359,0.1803,0.1358,0.1733,2.554E-48,5.0000,0.0359,0.1803,0.1358,0.1733,2.554E-48,10.0000,0.0359,0.1803,0.1358,0.1733,2.554E-48,0.9402,0.0358,0.8189,0.0000,0.0000,2.323E-5,0.9402,0.0358,0.8189,0.0000,0.0000,2.323E-5,16.2722,0.1119,0.1358,0.1358,0.1733,0E0,23.5148,0.3163,0.0813,0.1523,0.1867,0E0,14.5821,0.0450,0.1733,0.1358,0.1733,7.973E-51,24.4585,0.3319,0.0771,0.1623,0.1867,0E0,0.9402,0.0358,0.8189,0.0000,0.0000,2.323E-5,14.5952,0.0456,0.1728,0.1358,0.1733,5.249E-51
9721 (average),301.6000,1.7410,1.9571,500.0000,0.9086,75.4000,1.8912,0.9067,0.0193,10256.8000,8.0431,7.8291,14.9929,2.3013,1.6173,13.8262,8.3595,9.3725,2.0883,1.4506,0.4798,0.4856,0.5121,6.0657,11.1351,0.2231,0.0281,0.0026,0.2997,10.8877,5.3573,5.9423,3.7740,0.7491,3.5868,38.9761,14.8211,7.2208,0.7032,0.8034,0.7258,0.6273,0.1402,0.7098,3.4104,0.3575,0.7816,0.1994,1.4224,9.6916,7.4995,0.0931,1.0000,0.0378,0.4351,0.0550,0.0667,0.0000,5.0000,0.0386,0.1790,0.1140,0.1170,0.0000,10.0000,0.0386,0.1790,0.1140,0.1170,0.0000,3.8919,0.0386,0.6899,0.0000,0.0000,0.0000,3.8919,0.0386,0.6899,0.0000,0.0000,0.0000,16.5314,0.0921,0.1446,0.1446,0.1513,0.0000,23.2305,0.2772,0.0965,0.1326,0.1516,0.0000,16.2679,0.0811,0.1512,0.1452,0.1513,0.0000,22.8414,0.2681,0.0981,0.1379,0.1356,0.0000,3.8919,0.0386,0.6899,0.0000,0.0000,0.0000,15.3191,0.0425,0.1757,0.1140,0.1170,0.0000
979753_0,264,1.8755,2.1152,500,0.9311,67,1.9698,0.9144,0.0200,10240,14.5300,10.0539,17.7683,1.9957,3.0974,10.0628,18.3444,3.7748,2.2261,1.5021,0.0003,0.1778,0.7231,3.2756,3.8990,0.0013,0.0884,0.0336,0.2769,8.1684,15.9015,9.7703,0.0000,0.0215,0.0000,44.6479,17.8979,0.5626,1.2196,0.0000,0.0000,2.1754,1.0631,0.4697,0.4184,0.0000,0.0000,0.0000,1.0928,4.7593,7.3565,0.0822,1.0000,0.0204,0.2055,0.0871,0.1194,6.953E-43,5.0000,0.0204,0.2055,0.0871,0.1194,6.953E-43,10.0000,0.0500,0.1724,0.0871,0.1194,1.807E-53,0.6391,0.0204,0.8452,0.0000,0.0000,2.302E-4,13.3284,0.1606,0.1238,0.0985,0.1194,0E0,15.1985,0.2127,0.1099,0.1098,0.1343,0E0,20.5982,0.3187,0.0828,0.1174,0.1493,0E0,13.8551,0.1747,0.1194,0.1061,0.1194,0E0,19.1786,0.2894,0.0889,0.1174,0.1343,0E0,10.1911,0.0593,0.1672,0.0871,0.1194,1.674E-55,10.8799,0.0849,0.1529,0.0871,0.1194,8.176E-62
979753_1,265,1.7987,2.0268,500,0.9209,66,2.2183,0.9557,0.0108,10235,19.8326,12.9521,18.9314,3.7619,2.5744,9.5252,9.9165,1.1348,2.6046,0.1716,0.1501,0.0401,0.0158,0.6376,7.0407,0.1049,0.1958,0.2843,1.1164,9.0093,12.8454,6.5107,1.1983,0.0000,2.8543,45.0135,12.6503,0.0000,3.0784,0.0000,0.0000,4.1560,0.0000,0.6459,0.1439,0.0000,2.4589,0.0000,0.7785,7.6658,7.4368,0.0885,1.0000,0.0278,0.1970,0.1094,0.0303,1.989E-56,5.0000,0.0278,0.1970,0.1094,0.0303,1.989E-56,10.0000,0.0278,0.1970,0.1094,0.0303,1.989E-56,0.7848,0.0278,0.8370,0.0000,0.0000,1.687E-4,0.7848,0.0278,0.8370,0.0000,0.0000,1.687E-4,16.0036,0.1799,0.1181,0.1170,0.0455,0E0,23.4226,0.3448,0.0783,0.1434,0.0909,0E0,21.9624,0.3207,0.0842,0.1434,0.0909,0E0,18.6598,0.2600,0.1000,0.1321,0.0455,0E0,0.7848,0.0278,0.8370,0.0000,0.0000,1.687E-4,12.5153,0.0639,0.1658,0.1094,0.0303,0E0
979753_2,265,1.8129,2.0462,500,0.9241,66,2.2572,0.9440,0.0151,10237,11.6599,14.4464,16.8354,3.7506,2.5606,9.7895,13.9658,1.1534,2.0827,1.4550,0.0091,0.0631,0.8921,3.7069,7.8501,0.0131,0.0002,0.1445,1.3194,8.3021,13.1663,4.6042,2.2938,0.6278,1.7578,48.7909,14.4989,0.0000,2.8734,1.5851,1.4592,0.0000,0.0000,0.8420,0.0000,1.5097,0.0000,1.1067,0.3973,4.4870,7.4383,0.0891,1.0000,0.0259,0.2019,0.1019,0.0606,1.134E-50,5.0000,0.0259,0.2019,0.1019,0.0606,1.134E-50,10.0000,0.0259,0.2019,0.1019,0.0606,1.134E-50,0.7555,0.0258,0.8418,0.0000,0.0000,2.148E-4,0.7555,0.0258,0.8418,0.0000,0.0000,2.148E-4,15.9272,0.1983,0.1170,0.1170,0.0909,0E0,23.4015,0.3589,0.0790,0.1358,0.1212,0E0,17.5708,0.2465,0.1061,0.1245,0.1061,0E0,21.8998,0.3317,0.0850,0.1321,0.1061,0E0,11.6744,0.0642,0.1705,0.1019,0.0606,2.837E-62,11.8644,0.0714,0.1660,0.1019,0.0606,2.737E-64
979753_3,265,1.8536,2.0817,500,0.9266,66,2.0201,0.9315,0.0164,10238,15.5861,8.9280,18.2054,1.8456,3.1051,8.8993,17.5032,3.7786,2.6246,0.2377,0.0030,0.0491,0.8397,3.4430,5.6512,0.0076,0.0000,0.0878,0.2195,8.9852,6.5806,6.5185,5.3096,0.5185,0.0000,51.1766,17.9295,1.7988,0.0000,0.0000,0.0000,1.4225,0.0000,1.1238,0.0000,0.3761,0.0000,0.0000,3.0406,4.2049,7.3853,0.0843,1.0000,0.0236,0.1975,0.0000,0.0000,1.416E-60,5.0000,0.0236,0.1975,0.0000,0.0000,1.416E-60,10.0000,0.0236,0.1975,0.0000,0.0000,1.416E-60,10.4260,0.0236,0.1975,0.0000,0.0000,1.416E-60,13.5360,0.1361,0.1284,0.0981,0.1061,0E0,15.7741,0.2028,0.1094,0.1094,0.1212,0E0,10.4260,0.0236,0.1975,0.0000,0.0000,1.416E-60,14.3016,0.1607,0.1210,0.1019,0.1212,0E0,10.4260,0.0236,0.1975,0.0000,0.0000,1.416E-60,10.4260,0.0236,0.1975,0.0000,0.0000,1.416E-60,11.5933,0.0716,0.1575,0.0981,0.0909,2.193E-63
